year,police_station,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1983,Janabahatathi,_,_,_,0,1,1,_,1,6,6,1,7,6
1983,Kengeri,4,4,1,5,9,9,2,11,29,41,6,47,25
1983,Chickpet,2,2,_,2,5,5,_,5,36,39,1,40,16
1983,Uppapet,6,5,1,6,13,11,2,13,49,54,1,55,23
1983,Magadiroad,7,6,1,7,15,14,1,15,56,61,4,65,26
1983,Citymarket,3,3,_,3,16,15,1,16,28,34,2,36,22
1983,N.T.Pet,2,2,_,2,4,4,_,4,36,39,3,42,13
1983,Kengerigate,7,7,_,7,21,20,1,21,45,49,3,52,18
1983,J.J.Nagar,2,2,_,2,4,4,_,4,14,19,1,20,8
1983,Malleshwaram,6,5,1,,3,3,_,3,75,65,27,92,39
1983,Sadashivnagar,3,3,_,3,2,2,_,2,38,36,13,49,18
1983,Srirampura,5,4,1,5,5,5,_,5,58,56,25,81,26
1983,Yeshwanthpura,15,12,3,15,5,5,1,6,73,71,28,99,28
1983,R.M.C.Yard,1,1,_,1,_,_,_,0,4,2,2,4,12
1983,Peenya,12,10,2,12,4,4,1,5,64,60,30,90,34
1983,S.D.Halli,1,1,_,1,2,2,_,2,6,3,4,7,3
1983,Jalahalli,_,_,_,,1,1,_,1,20,21,6,27,5
1983,G.Gudi,_,_,_,0,_,_,_,0,4,4,3,7,5
1983,Rjajinagar,9,10,1,11,2,2,_,2,85,73,35,108,30
1983,Vijaynagar,6,6,_,6,1,1,_,1,42,38,19,57,25
1983,Subramanyapura,8,8,_,8,3,3,_,3,75,67,30,97,27
1983,M.Layout,1,1,_,1,_,_,_,0,10,15,1,16,6
1983,Basveshwarnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Kamakshipalya,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Rajgoplanagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,H.Grounds,4,4,1,5,22,22,1,23,50,73,6,79,39
1983,Cubbonpark,6,6,1,7,38,39,1,40,51,98,10,108,55
1983,C.Street,3,3,_,3,20,20,1,21,37,53,6,59,34
1983,Bharathinagar,1,1,_,1,15,15,1,16,22,35,5,40,15
1983,Shivajinagar,2,2,_,2,7,7,_,7,8,12,2,14,3
1983,Sheshadripuram,9,9,_,9,17,17,2,19,22,28,3,31,34
1983,Vyalikaval,6,6,_,6,9,9,1,10,32,41,2,43,17
1983,Hebbal,10,10,_,10,6,6,_,6,45,50,1,51,19
1983,Yelahanka,13,14,1,15,8,8,_,8,57,96,2,98,13
1983,J.C.Nagar,5,5,_,5,5,4,1,5,37,45,2,47,15
1983,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Vidhanasoudha,_,_,_,0,8,8,_,8,23,32,3,35,14
1983,Jayanagar,6,6,_,6,8,8,_,8,88,89,2,91,35
1983,J.P.Nagar,_,_,_,0,6,6,_,6,10,10,1,11,7
1983,Siddapura,2,2,_,2,3,3,_,3,17,19,2,21,8
1983,Thilaknagar,_,_,_,0,4,4,_,4,20,22,5,27,9
1983,Basavanagudi,5,3,2,5,8,7,2,9,60,80,5,85,24
1983,T.R.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Banashankari,2,2,_,2,2,2,_,2,13,18,7,25,3
1983,Hanumanthangar,2,2,_,2,3,3,_,3,30,41,2,43,16
