year,vehicle_type,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1989,Military Truck,4,4,_,4,2,2,_,2,11,16,_,16,14
1989,Un-known Vehicles,14,14,1,15,5,4,1,5,13,28,_,28,29
1989,Tractors,2,2,_,2,_,_,_,0,6,7,_,7,1
1989,Cycles,4,4,_,4,1,1,_,1,12,12,_,12,2
1989,Jatakas,1,1,_,1,_,_,_,0,1,1,_,1,_
1989,Bullock Carts,_,_,_,0,_,_,_,0,3,3,_,3,1
1989,Others Vehicles,11,11,_,11,_,_,_,0,56,61,_,61,88
1990,Motor Cycles,38,37,3,40,146,121,31,152,480,468,93,561,100
1990,Scooters,39,36,4,40,163,139,24,163,592,554,126,680,90
1990,Mopeds,13,10,3,13,36,30,7,37,139,140,12,152,22
1990,Auto Rikshaws,25,18,7,25,138,120,24,144,411,401,109,510,130
1990,Tempos,33,31,4,35,51,48,7,55,171,232,23,255,125
1990,Car's,32,24,8,32,178,158,22,180,505,546,128,674,342
1990,Taxi,2,2,_,2,1,_,1,1,9,14,_,14,8
1990,Jeep,6,7,_,7,28,27,2,29,61,73,14,87,49
1990,Van,17,18,2,20,44,44,3,47,124,142,27,169,94
1990,Lorrys,177,167,18,185,168,159,15,174,357,555,88,643,454
1990,B.T.S Busses,69,60,9,69,88,69,22,91,202,308,78,386,172
1990,K.S.R.T.C Busses,15,13,3,16,17,14,4,18,44,74,11,85,40
1990,Factory BUS,15,17,1,18,13,13,_,13,38,131,15,146,37
1990,Priyate Bus,16,15,3,18,13,12,1,13,25,55,9,64,30
1990,Military Buses,_,_,_,0,2,1,1,2,10,10,_,10,12
1990,Un-known Vehicles,31,30,3,33,13,11,2,13,57,47,17,64,99
1990,Tractors,3,3,_,3,_,_,-,0,12,15,-,15,4
1990,Cycles,_,_,_,0,_,_,_,0,18,18,2,20,2
1990,Jatakas,2,1,1,2,_,_,_,0,_,_,_,0,1
1990,Bullock Carts,1,_,1,1,_,_,_,0,_,_,_,0,1
1990,Others,3,3,_,3,_,-,_,0,8,7,3,10,18
1991,Motor Cycles,35,28,7,35,155,129,29,158,419,404,104,508,103
1991,Scooters,45,38,7,45,165,135,32,167,608,556,143,699,107
1991,Mopeds,12,6,6,12,55,43,13,56,121,100,27,127,29
1991,Auto Rikshaws,21,14,8,22,167,133,35,168,479,485,135,620,152
1991,Tempos,45,40,9,49,85,79,10,89,163,206,38,244,109
1991,Car's,37,33,4,37,209,180,32,212,517,561,96,657,364
1991,Taxi,1,_,1,1,5,4,1,5,1,2,_,2,9
1991,Jeep,4,3,2,5,24,21,3,24,71,80,10,90,59
1991,Van,17,13,4,17,28,25,12,37,155,164,19,183,102
1991,Lorrys,167,155,23,178,150,130,24,154,360,591,49,640,452
1991,B.T.S Busses,69,60,11,71,109,93,17,110,231,280,55,335,203
1991,K.S.R.T.C Busses,21,19,3,22,17,15,2,17,29,41,5,46,36
1991,Factory BUS,3,4,_,4,15,15,1,16,39,54,25,79,36
1991,Priyate Bus,14,14,1,15,10,8,3,11,54,85,8,93,39
1991,Military Vehicles,2,2,_,2,_,_,_,0,10,16,2,18,13
1991,Un-known Vehicles,23,20,3,23,4,3,1,4,42,45,5,50,130
1991,Tractors,1,1,_,1,3,2,1,3,8,16,_,16,8
1991,Cycles,5,4,1,5,2,2,_,2,10,7,3,10,1
1991,Jatakas,_,_,_,0,_,_,_,0,_,_,_,0,1
1991,Bullock Carts,1,1,_,1,1,1,_,1,1,1,_,1,2
1991,Others,5,4,1,5,_,_,_,0,19,17,2,19,18
1992,Motor Cycles,49,45,6,51,203,166,47,213,375,365,100,465,83
1992,Scooters,45,41,4,45,231,188,56,244,537,523,123,646,85
1992,Mopeds,7,5,1,6,74,62,12,74,142,133,28,161,14
1992,Auto Rikshaws,36,27,9,36,214,178,47,225,513,556,110,666,174
1992,Tempos,32,30,5,35,101,92,17,109,181,236,38,274,146
1992,Car's,32,30,2,32,218,191,37,228,493,531,101,632,295
1992,Taxis,_,_,_,0,1,1,_,1,1,2,_,2,2
1992,Jeeps,9,8,1,9,24,21,5,26,63,82,14,96,42
1992,Vans,18,13,5,18,77,68,11,79,148,168,35,203,111
1992,Lorrys,177,165,22,187,185,179,21,200,385,543,120,663,432
1992,BTS Buses,73,67,8,75,140,116,36,152,253,361,75,436,205
1992,KSRTC Buses,16,16,3,19,32,30,3,33,47,79,14,93,50
1992,Factory Buses,5,4,1,5,19,16,4,20,40,129,21,150,41
1992,Private Buses,15,13,2,15,37,34,6,40,43,70,17,87,62
1992,Military Buses,1,_,1,1,3,2,1,3,12,17,3,20,12
1992,Un-known Vehicles,33,27,6,33,2,2,_,2,86,98,17,115,122
1992,Tractors,3,3,_,3,6,5,1,6,5,9,_,9,2
1992,Cycles,2,2,_,2,5,5,_,5,11,9,5,14,_
1992,Bullock Carts,_,_,_,0,1,1,_,1,1,1,_,1,_
1992,Others,3,3,_,3,1,_,1,1,16,11,5,16,10
1993,BTS Buses,79,66,18,84,142,130,26,156,252,392,85,477,199
1993,K.S.R.T.C Buses,24,18,6,24,30,29,3,32,54,69,15,84,50
1993,Factory Buses,9,9,2,11,26,23,4,27,29,84,15,99,37
1993,Private Buses,12,9,3,12,23,22,3,25,38,82,16,98,63
1993,Lorry's,152,145,22,167,195,190,30,220,315,471,65,536,417
1993,Car's,27,21,6,27,207,182,50,232,504,540,125,665,338
1993,Auto Rikshaws,32,27,5,32,218,200,49,249,633,600,180,780,198
1993,Motor Cycles,47,43,5,48,169,134,41,175,405,410,88,498,71
1993,Scooters,52,45,7,52,284,218,64,282,610,542,150,692,95
1993,Mopeds,18,8,6,14,48,36,12,48,112,106,35,141,22
1993,Tempos,43,38,8,46,96,94,17,111,244,253,63,316,170
1993,Jeeps,8,7,1,8,26,24,2,26,51,54,9,63,49
1993,Vans,23,18,5,23,91,80,10,90,152,224,40,264,123
1993,Military Trucks,2,1,1,2,2,2,1,3,10,9,3,12,10
1993,Un-known Vehicles,46,42,7,49,2,2,_,2,104,100,24,124,128
1993,Tractors,2,2,_,2,3,2,1,3,6,11,1,12,2
1993,Taxis,_,_,_,0,1,1,_,1,3,3,1,4,1
1993,Cycles,2,6,_,6,_,_,_,0,8,8,4,12,_
1993,Jatakas,1,1,_,1,_,_,_,0,_,_,_,0,_
1993,Bullock Carts,_,_,_,0,_,_,_,0,_,_,_,0,1
1993,Others,_,_,_,0,_,_,_,0,2,8,_,8,_
1994,BTS Buses,80,63,17,80,94,87,16,103,266,329,75,404,205
1994,K.S.R.T.C Buses,26,22,6,28,24,22,2,24,43,62,14,76,60
1994,Factory Buses,12,9,3,12,19,19,2,21,41,55,20,75,37
1994,Private Buses,25,25,5,30,35,41,8,49,81,154,40,194,74
1994,Lorry's,157,147,19,166,194,197,21,218,399,536,84,620,526
1994,Car's,25,21,5,26,207,183,33,216,551,577,127,704,425
1994,Auto Rikshaws,31,28,4,32,159,125,43,168,647,639,156,795,225
1994,Motor Cycles,35,30,5,35,142,119,27,146,484,464,112,576,84
1994,Scooters,40,33,7,40,215,175,50,225,618,534,145,679,97
1994,Mopeds,11,7,4,11,35,26,9,35,120,103,32,135,18
1994,Tempos,42,39,5,44,93,94,11,105,253,302,50,352,206
1994,Jeeps,8,6,2,8,19,16,5,21,83,89,18,107,56
1994,Vans,26,24,3,27,83,76,18,94,208,250,40,290,148
1994,Military Trucks,4,4,_,4,1,1,_,1,17,18,5,23,23
1994,Un-known Vehicles,33,30,3,33,3,3,_,3,121,106,25,131,159
1994,Tractors,4,3,1,4,_,_,_,0,7,6,2,8,1
1994,Taxis,_,_,_,0,_,_,_,0,1,1,_,1,4
1994,Cycles,3,1,1,2,1,1,_,1,10,11,_,11,3
1994,Jatakas,_,_,_,0,_,_,_,0,_,_,_,0,_
1994,Bullock Carts,_,_,_,0,_,_,_,0,1,1,_,1,1
1994,Others,3,2,3,5,1,1,_,1,2,3,_,3,3
1995,BTS Buses,87,,,91,,,,,,,,,255
1995,K.S.R.T.C Buses,16,,,17,,,,,,,,,43
1995,Factory Buses,11,,,12,,,,,,,,,60
1995,Private Buses,27,,,36,,,,,,,,,105
1995,Lorry's,163,,,172,,,,,,,,,515
1995,Car's,34,,,35,,,,,,,,,443
1995,Auto Rikshaws,46,,,47,,,,,,,,,250
1995,Motor Cycles,55,,,56,,,,,,,,,112
1995,Scooters,39,,,39,,,,,,,,,136
1995,Mopeds,12,,,12,,,,,,,,,26
1995,Tempos,62,,,68,,,,,,,,,280
1995,Jeeps,7,,,8,,,,,,,,,59
1995,Vans,24,,,24,,,,,,,,,143
1995,Military Vehicles,3,,,3,,,,,,,,,14
1995,Un-known Vehicles,46,,,48,,,,,,,,,176
1995,Tractors,5,,,5,,,,,,,,,7
1995,Taxis,_,,,_,,,,,,,,,3
1995,Cycles,3,,,3,,,,,,,,,_
1995,Jatakas,_,,,_,,,,,,,,,_
1995,Bullock Carts,1,,,1,,,,,,,,,_
1995,Others,1,,,1,,,,,,,,,2
1996,BTS Buses,72,,,76,,,,,,,,,184
1996,K.S.R.T.C BuseS,16,,,17,,,,,,,,,54
1996,Factory Buses,16,,,16,,,,,,,,,47
1996,Private Buses,28,,,30,,,,,,,,,93
1996,Lorry's,199,,,219,,,,,,,,,544
1996,Car's,34,,,34,,,,,,,,,466
1996,Auto Rikshaws,33,,,33,,,,,,,,,216
1996,Motor Cycles,44,,,45,,,,,,,,,92
1996,Scooters,56,,,57,,,,,,,,,107
1996,Mopeds,6,,,6,,,,,,,,,23
1996,Tempos,56,,,58,,,,,,,,,269
1996,Jeeps,9,,,9,,,,,,,,,53
1996,Vans,36,,,36,,,,,,,,,163
1996,Military Vehicles,6,,,6,,,,,,,,,9
1996,Un-known Vehicles,63,,,66,,,,,,,,,237
1996,Tractors,2,,,2,,,,,,,,,5
1996,Taxis,_,,,_,,,,,,,,,4
1996,Tankers,3,,,3,,,,,,,,,5
1996,Cycles,_,,,_,,,,,,,,,_
1996,Jatakas,_,,,_,,,,,,,,,_
1996,Bullock Carts,_,,,_,,,,,,,,,_
1996,Others,2,,,2,,,,,,,,,1
1997,BTS Buses,61,,,62,,,,,,,,,217
1997,K.S.R.T.C BuseS,14,,,16,,,,,,,,,62
1997,Factory Buses,14,,,16,,,,,,,,,42
1997,Private Buses,34,,,36,,,,,,,,,86
1997,Lorry's,169,,,181,,,,,,,,,596
1997,Car's,48,,,49,,,,,,,,,546
1997,Auto Rikshaws,38,,,39,,,,,,,,,209
1997,Motor Cycles,52,,,54,,,,,,,,,93
1997,Scooters,47,,,47,,,,,,,,,83
1997,Mopeds,3,,,4,,,,,,,,,12
1997,Tempos,61,,,63,,,,,,,,,290
1997,Jeeps,6,,,6,,,,,,,,,58
1997,Vans,28,,,28,,,,,,,,,138
1997,Maci Cab,12,,,13,,,,,,,,,23
1997,Military Vehicles,2,,,2,,,,,,,,,17
1997,Un-known Vehicles,66,,,67,,,,,,,,,243
1997,Tractors,7,,,7,,,,,,,,,7
1997,Taxis,1,,,1,,,,,,,,,3
1997,Tankers,6,,,6,,,,,,,,,12
1997,Cycles,1,,,1,,,,,,,,,_
1997,Jatakas,_,,,_,,,,,,,,,_
1997,Bullock Carts,_,,,_,,,,,,,,,1
1997,Others,5,,,6,,,,,,,,,13
1998,BTS Buses,73,,,80,,,,,,,,,172
1998,K.S.R.T.C BuseS,9,,,10,,,,,,,,,62
1998,Factory Buses,14,,,14,,,,,,,,,41
1998,Private Buses,33,,,38,,,,,,,,,92
1998,Lorry's,166,,,187,,,,,,,,,495
1998,Car's,53,,,53,,,,,,,,,557
1998,Auto Rikshaws,42,,,41,,,,,,,,,194
1998,Motor Cycles,55,,,58,,,,,,,,,106
1998,Scooters,64,,,63,,,,,,,,,81
1998,Mopeds,15,,,15,,,,,,,,,18
1998,Tempos,54,,,56,,,,,,,,,285
1998,Jeeps,9,,,9,,,,,,,,,61
1998,Vans,8,,,8,,,,,,,,,101
1998,Maci Cab,18,,,20,,,,,,,,,45
1998,Military Vehicles,1,,,1,,,,,,,,,11
1998,Un-known Vehicles,56,,,57,,,,,,,,,228
1998,Tractors,7,,,8,,,,,,,,,9
1998,Taxis,2,,,2,,,,,,,,,2
1998,Tankers,4,,,4,,,,,,,,,9
1998,Cycles,1,,,1,,,,,,,,,_
1998,Jatakas,_,,,_,,,,,,,,,_
1998,Bullock Carts,_,,,_,,,,,,,,,_
1998,Others,1,,,1,,,,,,,,,5
1999,BTS Buses,56,,,62,,,,,,,,,170
1999,K.S.R.T.C Buses,11,,,11,,,,,,,,,74
1999,Factory Buses,9,,,9,,,,,,,,,34
1999,Private Buses,17,,,18,,,,,,,,,79
1999,Lorry's,150,,,163,,,,,,,,,515
1999,Car's,42,,,43,,,,,,,,,528
1999,Auto Rikshaws,28,,,28,,,,,,,,,182
1999,Motor Cycles,48,,,49,,,,,,,,,114
1999,Scooters,45,,,46,,,,,,,,,81
1999,Mopeds,8,,,8,,,,,,,,,19
1999,Tempos,63,,,64,,,,,,,,,246
1999,Jeeps,6,,,7,,,,,,,,,46
